TI_label,TI_input,TI_input_percent,model,model_label,y_rel_m,y_over_D,inside_rotor,U_model_mps,TI_model,TI_model_percent,U_LES_mps,TI_LES,TI_LES_percent
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-360.0,-1.5,False,7.165825691427106,0.0642,6.419999999999999,8.2632875,0.08397083333333333,8.397083333333333
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-336.0,-1.4,False,7.362887308736697,0.0642,6.419999999999999,8.315266666666666,0.08191666666666667,8.191666666666666
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-312.0,-1.3,False,7.535147228044608,0.0642,6.419999999999999,8.355883333333335,0.079275,7.9275
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-288.0,-1.2,False,7.63608357827812,0.0642,6.419999999999999,8.3695875,0.07785,7.785
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-264.0,-1.1,False,7.648215060493275,0.0642,6.419999999999999,8.3759625,0.07729166666666666,7.729166666666666
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-240.0,-1.0,False,7.593908128164797,0.0642,6.419999999999999,8.375008333333334,0.077625,7.7625
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-216.0,-0.9,False,7.517953145991551,0.0642,6.419999999999999,8.3722125,0.07754166666666668,7.754166666666667
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-192.0,-0.8,False,7.461982563114083,0.0642,6.419999999999999,8.372120833333334,0.07950833333333333,7.950833333333334
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-168.0,-0.7,False,7.451240534713732,0.0642,6.419999999999999,8.395104166666666,0.08047499999999999,8.0475
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-144.0,-0.6,False,7.492651170499912,0.0642,6.419999999999999,8.408004166666666,0.0812875,8.12875
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-120.0,-0.5,True,7.576722213803617,0.0642,6.419999999999999,8.398683333333333,0.0823,8.23
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-96.0,-0.4,True,7.681501531428822,0.0642,6.419999999999999,8.3687125,0.08320833333333334,8.320833333333335
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-72.0,-0.3,True,7.778514703069132,0.0642,6.419999999999999,8.326408333333333,0.08410416666666667,8.410416666666668
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-48.0,-0.2,True,7.842003345407017,0.0642,6.419999999999999,8.278204166666667,0.0857875,8.57875
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",-24.0,-0.1,True,7.859451409038925,0.0642,6.419999999999999,8.233437499999999,0.08675416666666667,8.675416666666667
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",0.0,0.0,True,7.835712506427,0.0642,6.419999999999999,8.177191666666666,0.086725,8.6725
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",24.0,0.1,True,7.785441896022867,0.0642,6.419999999999999,8.11985,0.0876875,8.76875
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",48.0,0.2,True,7.719193492653115,0.0642,6.419999999999999,8.045795833333333,0.08802916666666666,8.802916666666667
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",72.0,0.3,True,7.633442486805718,0.0642,6.419999999999999,7.992312500000001,0.08847916666666668,8.847916666666668
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",96.0,0.4,True,7.510821894308082,0.0642,6.419999999999999,7.971504166666666,0.087875,8.7875
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",120.0,0.5,True,7.3330364191141015,0.0642,6.419999999999999,7.900383333333333,0.08824166666666666,8.824166666666667
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",144.0,0.6,False,7.100029736275124,0.0642,6.419999999999999,7.8137875,0.08926666666666666,8.926666666666666
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",168.0,0.7,False,6.840010820939824,0.0642,6.419999999999999,7.7564625,0.08883333333333333,8.883333333333333
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",192.0,0.8,False,6.602298495316929,0.0642,6.419999999999999,7.7120999999999995,0.08899166666666665,8.899166666666664
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",216.0,0.9,False,6.440394291915418,0.0642,6.419999999999999,7.672833333333334,0.08954166666666667,8.954166666666667
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",240.0,1.0,False,6.395145647737887,0.0642,6.419999999999999,7.6561375,0.08814583333333334,8.814583333333333
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",264.0,1.1,False,6.482679111434714,0.0642,6.419999999999999,7.682908333333333,0.08612916666666667,8.612916666666667
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",288.0,1.2,False,6.6882499103937665,0.0642,6.419999999999999,7.7153375,0.08383333333333333,8.383333333333333
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",312.0,1.3,False,6.965900678819673,0.0642,6.419999999999999,7.762645833333334,0.08387916666666667,8.387916666666667
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",336.0,1.4,False,7.244058754428172,0.0642,6.419999999999999,7.799054166666666,0.083925,8.3925
6.4%,0.0642,6.419999999999999,Nygaard2022,"TurbOPark, A=0.04",360.0,1.5,False,7.442147372780402,0.0642,6.419999999999999,7.8517125,0.0846125,8.46125
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-360.0,-1.5,False,7.707122167059785,0.0642,6.419999999999999,8.2632875,0.08397083333333333,8.397083333333333
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-336.0,-1.4,False,7.806000624052606,0.0642,6.419999999999999,8.315266666666666,0.08191666666666667,8.191666666666666
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-312.0,-1.3,False,7.902801607797834,0.0642,6.419999999999999,8.355883333333335,0.079275,7.9275
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-288.0,-1.2,False,7.979927986162274,0.0642,6.419999999999999,8.3695875,0.07785,7.785
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-264.0,-1.1,False,8.027121076466813,0.0642,6.419999999999999,8.3759625,0.07729166666666666,7.729166666666666
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-240.0,-1.0,False,8.045304792237435,0.0642,6.419999999999999,8.375008333333334,0.077625,7.7625
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-216.0,-0.9,False,8.044995228335356,0.0642,6.419999999999999,8.3722125,0.07754166666666668,7.754166666666667
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-192.0,-0.8,False,8.040313515443675,0.0642,6.419999999999999,8.372120833333334,0.07950833333333333,7.950833333333334
6.4%,0.0642,6.419999999999999,Nygaard2022_A0.06,"TurbOPark, A=0.06",-168.0,-0.7,False,8.043112773037848,0.0642,6.419999999999999,8.395104166666666,0.08047499999999999,8.0475
