turbine_id,y_over_D,z_over_D,U_LES_mps,TI_LES_percent,inside_rotor_mask
T136,-1.4,1.0541666666666667,8.9764,8.86,False
T136,-1.3,1.0541666666666667,9.0122,8.62,False
T136,-1.2,1.0541666666666667,9.0268,8.5,False
T136,-1.1,1.0541666666666667,9.0212,8.42,False
T136,-1.0,1.0541666666666667,9.0199,8.309999999999999,False
T136,-0.9,1.0541666666666667,9.0158,8.290000000000001,False
T136,-0.8,1.0541666666666667,8.9986,8.35,False
T136,-0.7,1.0541666666666667,8.9888,8.39,False
T136,-0.6,1.0541666666666667,8.9775,8.4,False
T136,-0.5,1.0541666666666667,8.9619,8.36,False
T136,-0.4,1.0541666666666667,8.9524,8.290000000000001,False
T136,-0.3,1.0541666666666667,8.942,8.219999999999999,False
T136,-0.2,1.0541666666666667,8.9238,8.38,True
T136,-0.1,1.0541666666666667,8.8875,8.76,True
T136,0.0,1.0541666666666667,8.8302,9.06,True
T136,0.1,1.0541666666666667,8.764,9.29,True
T136,0.2,1.0541666666666667,8.7089,9.43,True
T136,0.3,1.0541666666666667,8.6559,9.55,False
T136,0.4,1.0541666666666667,8.5963,9.54,False
T136,0.5,1.0541666666666667,8.5284,9.610000000000001,False
T136,0.6,1.0541666666666667,8.461,9.629999999999999,False
T136,0.7,1.0541666666666667,8.4123,9.879999999999999,False
T136,0.8,1.0541666666666667,8.3917,10.09,False
T136,0.9,1.0541666666666667,8.3851,10.13,False
T136,1.0,1.0541666666666667,8.3824,9.98,False
T136,1.1,1.0541666666666667,8.3806,9.92,False
T136,1.2,1.0541666666666667,8.3897,9.78,False
T136,1.3,1.0541666666666667,8.4136,9.48,False
T136,1.4,1.0541666666666667,8.4512,9.370000000000001,False
T136,1.5,1.0541666666666667,8.4929,9.08,False
T136,-1.5,1.1541666666666666,9.1086,9.17,False
T136,-1.4,1.1541666666666666,9.1209,8.93,False
T136,-1.3,1.1541666666666666,9.139,8.790000000000001,False
T136,-1.2,1.1541666666666666,9.148,8.64,False
T136,-1.1,1.1541666666666666,9.1502,8.53,False
T136,-1.0,1.1541666666666666,9.1552,8.38,False
T136,-0.9,1.1541666666666666,9.1562,8.39,False
T136,-0.8,1.1541666666666666,9.1427,8.450000000000001,False
T136,-0.7,1.1541666666666666,9.1341,8.51,False
T136,-0.6,1.1541666666666666,9.125,8.52,False
T136,-0.5,1.1541666666666666,9.1107,8.44,False
T136,-0.4,1.1541666666666666,9.095,8.36,False
T136,-0.3,1.1541666666666666,9.0908,8.39,False
T136,-0.2,1.1541666666666666,9.0701,8.57,False
T136,-0.1,1.1541666666666666,9.0294,8.81,False
T136,0.0,1.1541666666666666,8.9757,9.1,False
T136,0.1,1.1541666666666666,8.9129,9.42,False
T136,0.2,1.1541666666666666,8.8638,9.59,False
T136,0.3,1.1541666666666666,8.8207,9.629999999999999,False
T136,0.4,1.1541666666666666,8.7602,9.65,False
T136,0.5,1.1541666666666666,8.6987,9.81,False
T136,0.6,1.1541666666666666,8.6465,9.959999999999999,False
T136,0.7,1.1541666666666666,8.6106,10.12,False
T136,0.8,1.1541666666666666,8.5851,10.18,False
T136,0.9,1.1541666666666666,8.5745,10.25,False
T136,1.0,1.1541666666666666,8.5792,10.22,False
T136,1.1,1.1541666666666666,8.5804,10.190000000000001,False
T136,1.2,1.1541666666666666,8.5967,9.969999999999999,False
T136,1.3,1.1541666666666666,8.6204,9.75,False
T136,1.4,1.1541666666666666,8.6424,9.58,False
T136,1.5,1.1541666666666666,8.6769,9.26,False
T136,-1.5,1.2541666666666667,9.2663,9.06,False
T136,-1.4,1.2541666666666667,9.2737,8.77,False
T136,-1.3,1.2541666666666667,9.2795,8.84,False
T136,-1.2,1.2541666666666667,9.2774,8.649999999999999,False
T136,-1.1,1.2541666666666667,9.2692,8.55,False
T136,-1.0,1.2541666666666667,9.2717,8.57,False
T136,-0.9,1.2541666666666667,9.2855,8.55,False
T136,-0.8,1.2541666666666667,9.2793,8.59,False
T136,-0.7,1.2541666666666667,9.2733,8.6,False
T136,-0.6,1.2541666666666667,9.2663,8.51,False
T136,-0.5,1.2541666666666667,9.2609,8.51,False
T136,-0.4,1.2541666666666667,9.2473,8.59,False
T136,-0.3,1.2541666666666667,9.2285,8.63,False
T136,-0.2,1.2541666666666667,9.2114,8.77,False
T136,-0.1,1.2541666666666667,9.1822,9.06,False
T136,0.0,1.2541666666666667,9.1474,9.21,False
T136,0.1,1.2541666666666667,9.0944,9.43,False
T136,0.2,1.2541666666666667,9.0463,9.610000000000001,False
T136,0.3,1.2541666666666667,8.9955,9.69,False
T136,0.4,1.2541666666666667,8.9211,9.77,False
T136,0.5,1.2541666666666667,8.8649,9.89,False
T136,0.6,1.2541666666666667,8.826,10.09,False
T136,0.7,1.2541666666666667,8.803,10.24,False
T136,0.8,1.2541666666666667,8.7717,10.41,False
T136,0.9,1.2541666666666667,8.7606,10.47,False
T136,1.0,1.2541666666666667,8.7731,10.58,False
T136,1.1,1.2541666666666667,8.7951,10.440000000000001,False
T136,1.2,1.2541666666666667,8.8124,10.01,False
T136,1.3,1.2541666666666667,8.829,9.83,False
T136,1.4,1.2541666666666667,8.8474,9.47,False
T136,1.5,1.2541666666666667,8.8685,9.25,False
T136,-1.5,1.3541666666666667,9.4497,9.04,False
T136,-1.4,1.3541666666666667,9.4437,8.77,False
T136,-1.3,1.3541666666666667,9.4371,8.77,False
T136,-1.2,1.3541666666666667,9.4312,8.66,False
T136,-1.1,1.3541666666666667,9.4261,8.5,False
T136,-1.0,1.3541666666666667,9.4257,8.53,False
T136,-0.9,1.3541666666666667,9.4296,8.61,False
T136,-0.8,1.3541666666666667,9.418,8.59,False
T136,-0.7,1.3541666666666667,9.4175,8.51,False
T136,-0.6,1.3541666666666667,9.4176,8.36,False
T136,-0.5,1.3541666666666667,9.4094,8.44,False
T136,-0.4,1.3541666666666667,9.3968,8.49,False
T136,-0.3,1.3541666666666667,9.3908,8.61,False
T136,-0.2,1.3541666666666667,9.3738,8.83,False
T136,-0.1,1.3541666666666667,9.3466,9.139999999999999,False
T136,0.0,1.3541666666666667,9.3073,9.379999999999999,False
T136,0.1,1.3541666666666667,9.2508,9.48,False
T136,0.2,1.3541666666666667,9.2096,9.51,False
T136,0.3,1.3541666666666667,9.1562,9.59,False
T136,0.4,1.3541666666666667,9.0935,9.74,False
T136,0.5,1.3541666666666667,9.0409,9.91,False
T136,0.6,1.3541666666666667,8.9999,10.26,False
T136,0.7,1.3541666666666667,8.9883,10.35,False
T136,0.8,1.3541666666666667,8.9732,10.43,False
T136,0.9,1.3541666666666667,8.9663,10.489999999999998,False
T136,1.0,1.3541666666666667,8.9706,10.620000000000001,False
T136,1.1,1.3541666666666667,8.9826,10.5,False
T136,1.2,1.3541666666666667,9.0039,9.98,False
T136,1.3,1.3541666666666667,9.0242,9.629999999999999,False
T136,1.4,1.3541666666666667,9.0353,9.32,False
T136,1.5,1.3541666666666667,9.0511,9.22,False
T136,-1.5,1.4541666666666666,9.6247,8.94,False
T136,-1.4,1.4541666666666666,9.613,8.76,False
T136,-1.3,1.4541666666666666,9.599,8.66,False
T136,-1.2,1.4541666666666666,9.5882,8.61,False
T136,-1.1,1.4541666666666666,9.5889,8.52,False
T136,-1.0,1.4541666666666666,9.5904,8.66,False
T136,-0.9,1.4541666666666666,9.5889,8.64,False
T136,-0.8,1.4541666666666666,9.5755,8.61,False
