turbine,case,seed,U,mean_thrust,std_thrust,DEL
T135,Waked_TurbOPark_A0.06,102,10,1568642.2760417596,201330.9234680641,186548.72945621886
T135,Waked_TurbOPark_A0.06,103,10,1573094.7974293872,181540.87804338167,150625.82125994714
T135,Waked_TurbOPark_A0.06,104,10,1578449.135716598,161041.39224442613,139407.25842446898
T135,Waked_TurbOPark_A0.06,105,10,1580554.0421437689,192959.43595207192,179398.14657858486
T135,Waked_TurbOPark_A0.06,106,10,1578958.9913992814,173503.94971662312,151951.53606847118
T136,LES,101,10,1516516.76279102,135190.7048439941,153878.1652876926
T136,LES,102,10,1498884.98056122,191431.91748402308,175353.6051073934
T136,LES,103,10,1504667.4551320013,170602.39000888893,141469.3126560714
T136,LES,104,10,1507959.6195675642,149067.08401744548,129684.94931456434
T136,LES,105,10,1510894.466487444,181682.16584969664,171242.27887581315
T136,LES,106,10,1507499.205600053,164097.18726996728,142693.6052266375
T136,Waked_BPA,101,10,1686879.7504700192,223803.2384991707,238722.02644732432
T136,Waked_BPA,102,10,1655439.6550630752,304437.4687341033,274381.396616646
T136,Waked_BPA,103,10,1663670.511839535,278929.80995333806,231674.61422894368
T136,Waked_BPA,104,10,1673961.929631163,247675.89349809653,208270.90051696167
T136,Waked_BPA,105,10,1676995.1677633126,298868.6752127477,278703.37939430063
T136,Waked_BPA,106,10,1672546.584652904,267326.87706917984,234982.1210393657
T136,Waked_NPA,101,10,1715505.1412310079,199117.8392918346,215622.029040973
T136,Waked_NPA,102,10,1688699.381461668,274184.8503370652,255159.00872699113
T136,Waked_NPA,103,10,1695256.1391780027,248168.5534123539,204267.27151063085
T136,Waked_NPA,104,10,1703460.6775011765,220422.17662569668,187429.65663094172
T136,Waked_NPA,105,10,1707518.425763127,265540.72582985344,245372.883294328
T136,Waked_NPA,106,10,1703743.5524028235,239712.96505539547,209534.88208650652
T136,Waked_TurbOPark_A0.04,101,10,1467865.9685010728,130002.0500533347,150275.56095152497
T136,Waked_TurbOPark_A0.04,102,10,1449664.9685961863,187737.56510974976,173892.9006183983
T136,Waked_TurbOPark_A0.04,103,10,1455262.5785908694,169897.6733948339,138243.52533937118
T136,Waked_TurbOPark_A0.04,104,10,1459617.2922883017,150496.89094564502,131866.15747836302
T136,Waked_TurbOPark_A0.04,105,10,1461010.405358068,180054.33363267782,167806.1904459156
T136,Waked_TurbOPark_A0.04,106,10,1459907.1432315342,161045.1621608797,141041.79590832768
T136,Waked_TurbOPark_A0.06,101,10,1586996.0480565494,142252.4353609758,156426.0936184349
T136,Waked_TurbOPark_A0.06,102,10,1568642.2760417596,201330.9234680641,186548.72945621886
T136,Waked_TurbOPark_A0.06,103,10,1573094.7974293872,181540.87804338167,150625.82125994714
T136,Waked_TurbOPark_A0.06,104,10,1578449.135716598,161041.39224442613,139407.25842446898
T136,Waked_TurbOPark_A0.06,105,10,1580554.0421437689,192959.43595207192,179398.14657858486
T136,Waked_TurbOPark_A0.06,106,10,1578958.9913992814,173503.94971662312,151951.53606847118
T225,LES,101,10,2053883.625605574,143342.92848441188,155475.7035859994
T225,LES,102,10,2032176.1490749063,187887.90811557905,168045.2518109137
T225,LES,103,10,2041476.5736430073,173772.17873630996,148943.88873559798
T225,LES,104,10,2046146.7011798585,150129.1787111968,130341.04564163115
T225,LES,105,10,2048601.6497327357,190840.75789104385,185991.99454113303
T225,LES,106,10,2044769.5895627218,168254.5908071463,149115.0981647881
T225,Waked_BPA,101,10,2009418.4577601075,129002.82967415027,135313.22006527838
T225,Waked_BPA,102,10,1992599.4816250254,179201.51820776044,163087.6286433013
T225,Waked_BPA,103,10,1998721.1113834728,164767.89352529636,138192.2479067306
T225,Waked_BPA,104,10,2002905.3701857203,150760.97929639785,130067.22810358704
T225,Waked_BPA,105,10,2005122.2842555523,180653.55728530366,170004.78200308027
T225,Waked_BPA,106,10,2003302.5227673044,159521.89627998165,141140.7618032626
T225,Waked_NPA,101,10,2009418.4577601075,129002.82967415027,135313.22006527838
T225,Waked_NPA,102,10,1992599.4816250254,179201.51820776044,163087.6286433013
T225,Waked_NPA,103,10,1998721.1113834728,164767.89352529636,138192.2479067306
T225,Waked_NPA,104,10,2002905.3701857203,150760.97929639785,130067.22810358704
T225,Waked_NPA,105,10,2005122.2842555523,180653.55728530366,170004.78200308027
T225,Waked_NPA,106,10,2003302.5227673044,159521.89627998165,141140.7618032626
